 # Grain size distribution: volume (A^3) ; No. of grains
   5806008.5817154031                0
   6078972.2984912721                0
   6351936.0152671402                0
   6624899.7320430093                1
   6897863.4488188783                0
   7170827.1655947464                0
   7443790.8823706154                0
   7716754.5991464844                0
   7989718.3159223534                1
   8262682.0326982215                0
   8535645.7494740896                0
   8808609.4662499595                0
   9081573.1830258276                0
   9354536.8998016957                0
   9627500.6165775657                0
   9900464.3333534338                0
   10173428.050129302                0
   10446391.766905172                0
   10719355.483681040                0
   10992319.200456910                0
   11265282.917232778                1
